--2023-05-12 20:10:59--  https://hal.science/hal-01429018/document
Resolving hal.science (hal.science)... 193.48.96.10
Connecting to hal.science (hal.science)|193.48.96.10|:443... connected.
HTTP request sent, awaiting response... 200 OK
Length: 18943353 (18M) [application/pdf]
Saving to: ‘./data/0.stat/1429018.pdf’

  5250K .......... .......... .......... .......... .......... 28%  630M 13s
  5300K .......... .......... .......... .......... .......... 28%  247K 13s
  5350K .......... .......... .......... .......... .......... 29%  575M 13s
  5400K .......... .......... .......... .......... .......... 29%  427M 13s
  5450K .......... .......... .......... .......... .......... 29%  621M 12s
  5500K .......... .......... .......... .......... .......... 30%  247K 13s
  5550K .......... .......... .......... .......... .......... 30%  571M 13s
  5600K .......... .......... .......... .......... .......... 30%  382M 12s
  5650K .......... .......... .......... .......... .......... 30%  613M 12s
  5700K .......... .......... .......... .......... .......... 31%  247K 12s
  5750K .......... .......... .......... .......... .......... 31%  477M 12s
  5800K .......... .......... .......... .......... .......... 31%  406M 12s
  5850K .......... .......... .......... .......... .......... 31%  597M 12s
  5900K .......... .......... .......... .......... .......... 32%  247K 12s
  5950K .......... .......... .......... .......... .......... 32%  400M 12s
  6000K .......... .......... .......... .......... .......... 32%  386M 12s
  6050K .......... .......... .......... .......... .......... 32%  473M 12s
  6100K .......... .......... .......... .......... .......... 33%  618M 12s
  6150K .......... .......... .......... .......... .......... 33%  246K 12s
  6200K .......... .......... .......... .......... .......... 33%  282M 12s
  6250K .......... .......... .......... .......... .......... 34%  628M 12s
  6300K .......... .......... .......... .......... .......... 34%  633M 12s
  6350K .......... .......... .......... .......... .......... 34%  247K 12s
  6400K .......... .......... .......... .......... .......... 34%  414M 12s
  6450K .......... .......... .......... .......... .......... 35%  621M 12s
  6500K .......... .......... .......... .......... .......... 35%  628M 11s
  6550K .......... .......... .......... .......... .......... 35%  246K 12s
  6600K .......... .......... .......... .......... .......... 35%  425M 11s
  6650K .......... .......... .......... .......... .......... 36%  600M 11s
  6700K .......... .......... .......... .......... .......... 36%  339M 11s
  6750K .......... .......... .......... .......... .......... 36%  247K 11s
  6800K .......... .......... .......... .......... .......... 37%  424M 11s
  6850K .......... .......... .......... .......... .......... 37%  614M 11s
  6900K .......... .......... .......... .......... .......... 37%  629M 11s
  6950K .......... .......... .......... .......... .......... 37%  246K 11s
  7000K .......... .......... .......... .......... .......... 38%  389M 11s
  7050K .......... .......... .......... .......... .......... 38%  620M 11s
  7100K .......... .......... .......... .......... .......... 38%  629M 11s
  7150K .......... .......... .......... .......... .......... 38%  246K 11s
  7200K .......... .......... .......... .......... .......... 39%  355M 11s
  7250K .......... .......... .......... .......... .......... 39%  617M 11s
  7300K .......... .......... .......... .......... .......... 39%  620M 11s
  7350K .......... .......... .......... .......... .......... 40%  625M 11s
  7400K .......... .......... .......... .......... .......... 40%  247K 11s
  7450K .......... .......... .......... .......... .......... 40%  597M 11s
  7500K .......... .......... .......... .......... .......... 40%  456M 11s
  7550K .......... .......... .......... .......... .......... 41%  617M 10s
  7600K .......... .......... .......... .......... .......... 41%  247K 11s
  7650K .......... .......... .......... .......... .......... 41%  465M 10s
  7700K .......... .......... .......... .......... .......... 41%  603M 10s
  7750K .......... .......... .......... .......... .......... 42%  606M 10s
  7800K .......... .......... .......... .......... .......... 42%  246K 10s
  7850K .......... .......... .......... .......... .......... 42%  426M 10s
  7900K .......... .......... .......... .......... .......... 42%  605M 10s
  7950K .......... .......... .......... .......... .......... 43%  627M 10s
  8000K .......... .......... .......... .......... .......... 43%  246K 10s
  8050K .......... .......... .......... .......... .......... 43%  441M 10s
  8100K .......... .......... .......... .......... .......... 44%  605M 10s
  8150K .......... .......... .......... .......... .......... 44%  640M 10s
  8200K .......... .......... .......... .......... .......... 44%  247K 10s
  8250K .......... .......... .......... .......... .......... 44%  305M 10s
  8300K .......... .......... .......... .......... .......... 45%  611M 10s
  8350K .......... .......... .......... .......... .......... 45%  620M 10s
  8400K .......... .......... .......... .......... .......... 45%  247K 10s
  8450K .......... .......... .......... .......... .......... 45%  291M 10s
  8500K .......... .......... .......... .......... .......... 46%  587M 10s
  8550K .......... .......... .......... .......... .......... 46%  630M 10s
  8600K .......... .......... .......... .......... .......... 46%  247K 10s
  8650K .......... .......... .......... .......... .......... 47%  417M 10s
  8700K .......... .......... .......... .......... .......... 47%  606M 9s
  8750K .......... .......... .......... .......... .......... 47%  623M 9s
  8800K .......... .......... .......... .......... .......... 47%  470M 9s
  8850K .......... .......... .......... .......... .......... 48%  246K 9s
  8900K .......... .......... .......... .......... .......... 48%  603M 9s
  8950K .......... .......... .......... .......... .......... 48%  443M 9s
  9000K .......... .......... .......... .......... .......... 48%  567M 9s
  9050K .......... .......... .......... .......... .......... 49%  247K 9s
  9100K .......... .......... .......... .......... .......... 49%  395M 9s
  9150K .......... .......... .......... .......... .......... 49%  610M 9s
  9200K .......... .......... .......... .......... .......... 50%  502M 9s
  9250K .......... .......... .......... .......... .......... 50%  247K 9s
  9300K .......... .......... .......... .......... .......... 50%  595M 9s
  9350K .......... .......... .......... .......... .......... 50%  445M 9s
  9400K .......... .......... .......... .......... .......... 51%  567M 9s
  9450K .......... .......... .......... .......... .......... 51%  247K 9s
  9500K .......... .......... .......... .......... .......... 51%  428M 9s
  9550K .......... .......... .......... .......... .......... 51%  626M 9s
  9600K .......... .......... .......... .......... .......... 52%  506M 9s
  9650K .......... .......... .......... .......... .......... 52%  243K 9s
  9700K .......... .......... .......... .......... .......... 52%  426M 9s
  9750K .......... .......... .......... .......... .......... 52%  603M 8s
  9800K .......... .......... .......... .......... .......... 53%  558M 8s
  9850K .......... .......... .......... .......... .......... 53%  624M 8s
  9900K .......... .......... .......... .......... .......... 53%  241K 8s
  9950K .......... .......... .......... .......... .......... 54%  402M 8s
 10000K .......... .......... .......... .......... .......... 54%  495M 8s
 10050K .......... .......... .......... .......... .......... 54%  621M 8s
 10100K .......... .......... .......... .......... .......... 54%  247K 8s
 10150K .......... .......... .......... .......... .......... 55%  580M 8s
 10200K .......... .......... .......... .......... .......... 55%  556M 8s
 10250K .......... .......... .......... .......... .......... 55%  392M 8s
 10300K .......... .......... .......... .......... .......... 55%  247K 8s
 10350K .......... .......... .......... .......... .......... 56%  578M 8s
 10400K .......... .......... .......... .......... .......... 56%  391M 8s
 10450K .......... .......... .......... .......... .......... 56%  586M 8s
 10500K .......... .......... .......... .......... .......... 57%  246K 8s
 10550K .......... .......... .......... .......... .......... 57%  575M 8s
 10600K .......... .......... .......... .......... .......... 57%  516M 8s
 10650K .......... .......... .......... .......... .......... 57%  513M 8s
 10700K .......... .......... .......... .......... .......... 58%  247K 8s
 10750K .......... .......... .......... .......... .......... 58%  417M 7s
 10800K .......... .......... .......... .......... .......... 58%  386M 7s
 10850K .......... .......... .......... .......... .......... 58%  622M 7s
 10900K .......... .......... .......... .......... .......... 59%  247K 7s
 10950K .......... .......... .......... .......... .......... 59%  424M 7s
 11000K .......... .......... .......... .......... .......... 59%  408M 7s
 11050K .......... .......... .......... .......... .......... 60%  635M 7s
 11100K .......... .......... .......... .......... .......... 60%  630M 7s
 11150K .......... .......... .......... .......... .......... 60%  247K 7s
 11200K .......... .......... .......... .......... .......... 60%  368M 7s
 11250K .......... .......... .......... .......... .......... 61%  600M 7s
 11300K .......... .......... .......... .......... .......... 61%  641M 7s
 11350K .......... .......... .......... .......... .......... 61%  247K 7s
 11400K .......... .......... .......... .......... .......... 61%  506M 7s
 11450K .......... .......... .......... .......... .......... 62%  622M 7s
 11500K .......... .......... .......... .......... .......... 62%  627M 7s
 11550K .......... .......... .......... .......... .......... 62%  246K 7s
 11600K .......... .......... .......... .......... .......... 62%  377M 7s
 11650K .......... .......... .......... .......... .......... 63%  621M 7s
 11700K .......... .......... .......... .......... .......... 63%  621M 7s
 11750K .......... .......... .......... .......... .......... 63%  247K 7s
 11800K .......... .......... .......... .......... .......... 64%  407M 6s
 11850K .......... .......... .......... .......... .......... 64%  613M 6s
 11900K .......... .......... .......... .......... .......... 64%  635M 6s
 11950K .......... .......... .......... .......... .......... 64%  247K 6s
 12000K .......... .......... .......... .......... .......... 65%  335M 6s
 12050K .......... .......... .......... .......... .......... 65%  476M 6s
 12100K .......... .......... .......... .......... .......... 65%  604M 6s
 12150K .......... .......... .......... .......... .......... 65%  247K 6s
 12200K .......... .......... .......... .......... .......... 66%  417M 6s
 12250K .......... .......... .......... .......... .......... 66%  614M 6s
 12300K .......... .......... .......... .......... .......... 66%  420M 6s
 12350K .......... .......... .......... .......... .......... 67%  626M 6s
 12400K .......... .......... .......... .......... .......... 67%  247K 6s
 12450K .......... .......... .......... .......... .......... 67%  603M 6s
 12500K .......... .......... .......... .......... .......... 67%  433M 6s
 12550K .......... .......... .......... .......... .......... 68%  590M 6s
 12600K .......... .......... .......... .......... .......... 68%  247K 6s
 12650K .......... .......... .......... .......... .......... 68%  436M 6s
 12700K .......... .......... .......... .......... .......... 68%  464M 6s
 12750K .......... .......... .......... .......... .......... 69%  622M 5s
 12800K .......... .......... .......... .......... .......... 69%  247K 6s
 12850K .......... .......... .......... .......... .......... 69%  576M 5s
 12900K .......... .......... .......... .......... .......... 70%  458M 5s
 12950K .......... .......... .......... .......... .......... 70%  524M 5s
 13000K .......... .......... .......... .......... .......... 70%  247K 5s
 13050K .......... .......... .......... .......... .......... 70%  490M 5s
 13100K .......... .......... .......... .......... .......... 71%  595M 5s
 13150K .......... .......... .......... .......... .......... 71%  605M 5s
 13200K .......... .......... .......... .......... .......... 71%  246K 5s
 13250K .......... .......... .......... .......... .......... 71%  445M 5s
 13300K .......... .......... .......... .......... .......... 72%  591M 5s
 13350K .......... .......... .......... .......... .......... 72%  628M 5s
 13400K .......... .......... .......... .......... .......... 72%  247K 5s
 13450K .......... .......... .......... .......... .......... 72%  365M 5s
 13500K .......... .......... .......... .......... .......... 73%  600M 5s
 13550K .......... .......... .......... .......... .......... 73%  613M 5s
 13600K .......... .......... .......... .......... .......... 73%  247K 5s
 13650K .......... .......... .......... .......... .......... 74%  432M 5s
 13700K .......... .......... .......... .......... .......... 74%  615M 5s
 13750K .......... .......... .......... .......... .......... 74%  628M 5s
 13800K .......... .......... .......... .......... .......... 74%  571M 4s
 13850K .......... .......... .......... .......... .......... 75%  246K 4s
 13900K .......... .......... .......... .......... .......... 75%  596M 4s
 13950K .......... .......... .......... .......... .......... 75%  617M 4s
 14000K .......... .......... .......... .......... .......... 75%  501M 4s
 14050K .......... .......... .......... .......... .......... 76%  246K 4s
 14100K .......... .......... .......... .......... .......... 76%  603M 4s
 14150K .......... .......... .......... .......... .......... 76%  624M 4s
 14200K .......... .......... .......... .......... .......... 77%  566M 4s
 14250K .......... .......... .......... .......... .......... 77%  246K 4s
 14300K .......... .......... .......... .......... .......... 77%  577M 4s
 14350K .......... .......... .......... .......... .......... 77%  342M 4s
 14400K .......... .......... .......... .......... .......... 78%  511M 4s
 14450K .......... .......... .......... .......... .......... 78%  246K 4s
 14500K .......... .......... .......... .......... .......... 78%  573M 4s
 14550K .......... .......... .......... .......... .......... 78%  356M 4s
 14600K .......... .......... .......... .......... .......... 79%  553M 4s
 14650K .......... .......... .......... .......... .......... 79%  247K 4s
 14700K .......... .......... .......... .......... .......... 79%  499M 4s
 14750K .......... .......... .......... .......... .......... 80%  619M 4s
 14800K .......... .......... .......... .......... .......... 80%  416M 4s
 14850K .......... .......... .......... .......... .......... 80%  247K 4s
 14900K .......... .......... .......... .......... .......... 80%  464M 3s
 14950K .......... .......... .......... .......... .......... 81%  611M 3s
 15000K .......... .......... .......... .......... .......... 81%  566M 3s
 15050K .......... .......... .......... .......... .......... 81%  624M 3s
 15100K .......... .......... .......... .......... .......... 81%  246K 3s
 15150K .......... .......... .......... .......... .......... 82%  597M 3s
 15200K .......... .......... .......... .......... .......... 82%  506M 3s
 15250K .......... .......... .......... .......... .......... 82%  623M 3s
 15300K .......... .......... .......... .......... .......... 82%  246K 3s
 15350K .......... .......... .......... .......... .......... 83%  609M 3s
 15400K .......... .......... .......... .......... .......... 83%  556M 3s
 15450K .......... .......... .......... .......... .......... 83%  631M 3s
 15500K .......... .......... .......... .......... .......... 84%  246K 3s
 15550K .......... .......... .......... .......... .......... 84%  592M 3s
 15600K .......... .......... .......... .......... .......... 84%  498M 3s
 15650K .......... .......... .......... .......... .......... 84%  624M 3s
 15700K .......... .......... .......... .......... .......... 85%  247K 3s
 15750K .......... .......... .......... .......... .......... 85%  591M 3s
 15800K .......... .......... .......... .......... .......... 85%  559M 3s
 15850K .......... .......... .......... .......... .......... 85%  600M 3s
 15900K .......... .......... .......... .......... .......... 86%  246K 2s
 15950K .......... .......... .......... .......... .......... 86%  476M 2s
 16000K .......... .......... .......... .......... .......... 86%  497M 2s
 16050K .......... .......... .......... .......... .......... 87%  604M 2s
 16100K .......... .......... .......... .......... .......... 87%  246K 2s
 16150K .......... .......... .......... .......... .......... 87%  453M 2s
 16200K .......... .......... .......... .......... .......... 87%  564M 2s
 16250K .......... .......... .......... .......... .......... 88%  624M 2s
 16300K .......... .......... .......... .......... .......... 88%  584M 2s
 16350K .......... .......... .......... .......... .......... 88%  247K 2s
 16400K .......... .......... .......... .......... .......... 88%  341M 2s
 16450K .......... .......... .......... .......... .......... 89%  623M 2s
 16500K .......... .......... .......... .......... .......... 89%  618M 2s
 16550K .......... .......... .......... .......... .......... 89%  247K 2s
 16600K .......... .......... .......... .......... .......... 90%  152M 2s
 16650K .......... .......... .......... .......... .......... 90%  613M 2s
 16700K .......... .......... .......... .......... .......... 90%  637M 2s
 16750K .......... .......... .......... .......... .......... 90%  247K 2s
 16800K .......... .......... .......... .......... .......... 91%  485M 2s
 16850K .......... .......... .......... .......... .......... 91%  634M 2s
 16900K .......... .......... .......... .......... .......... 91%  620M 1s
 16950K .......... .......... .......... .......... .......... 91%  246K 1s
 17000K .......... .......... .......... .......... .......... 92%  530M 1s
 17050K .......... .......... .......... .......... .......... 92%  610M 1s
 17100K .......... .......... .......... .......... .......... 92%  621M 1s
 17150K .......... .......... .......... .......... .......... 92%  247K 1s
 17200K .......... .......... .......... .......... .......... 93%  430M 1s
 17250K .......... .......... .......... .......... .......... 93%  620M 1s
 17300K .......... .......... .......... .......... .......... 93%  632M 1s
 17350K .......... .......... .......... .......... .......... 94%  246K 1s
 17400K .......... .......... .......... .......... .......... 94%  451M 1s
 17450K .......... .......... .......... .......... .......... 94%  616M 1s
 17500K .......... .......... .......... .......... .......... 94%  628M 1s
 17550K .......... .......... .......... .......... .......... 95%  631M 1s
 17600K .......... .......... .......... .......... .......... 95%  246K 1s
 17650K .......... .......... .......... .......... .......... 95%  595M 1s
 17700K .......... .......... .......... .......... .......... 95%  616M 1s
 17750K .......... .......... .......... .......... .......... 96%  625M 1s
 17800K .......... .......... .......... .......... .......... 96%  246K 1s
 17850K .......... .......... .......... .......... .......... 96%  583M 1s
 17900K .......... .......... .......... .......... .......... 97%  612M 1s
 17950K .......... .......... .......... .......... .......... 97%  631M 0s
 18000K .......... .......... .......... .......... .......... 97%  246K 0s
 18050K .......... .......... .......... .......... .......... 97%  585M 0s
 18100K .......... .......... .......... .......... .......... 98%  605M 0s
 18150K .......... .......... .......... .......... .......... 98%  626M 0s
 18200K .......... .......... .......... .......... .......... 98%  246K 0s
 18250K .......... .......... .......... .......... .......... 98%  586M 0s
 18300K .......... .......... .......... .......... .......... 99%  621M 0s
 18350K .......... .......... .......... .......... .......... 99%  634M 0s
 18400K .......... .......... .......... .......... .......... 99%  246K 0s
 18450K .......... .......... .......... .......... ......... 100%  410M=18s

2023-05-12 20:11:18 (1,00 MB/s) - ‘./data/0.stat/1429018.pdf’ saved [18943353/18943353]

