--2023-05-12 20:57:44--  https://www.hal.inserm.fr/inserm-01350891/document
Resolving www.hal.inserm.fr (www.hal.inserm.fr)... 193.48.96.10
Connecting to www.hal.inserm.fr (www.hal.inserm.fr)|193.48.96.10|:443... connected.
HTTP request sent, awaiting response... 200 OK
Length: 111902928 (107M) [application/pdf]
Saving to: ‘./data/0.sdv/1350891.pdf’

  5000K .......... .......... .......... .......... ..........  4%  411M 1m40s
  5050K .......... .......... .......... .......... ..........  4%  612M 99s
  5100K .......... .......... .......... .......... ..........  4%  247K 1m42s
  5150K .......... .......... .......... .......... ..........  4%  370M 1m41s
  5200K .......... .......... .......... .......... ..........  4%  501M 1m40s
  5250K .......... .......... .......... .......... ..........  4%  348M 99s
  5300K .......... .......... .......... .......... ..........  4%  490M 98s
  5350K .......... .......... .......... .......... ..........  4%  246K 1m41s
  5400K .......... .......... .......... .......... ..........  4%  519M 1m40s
  5450K .......... .......... .......... .......... ..........  5%  494M 99s
  5500K .......... .......... .......... .......... ..........  5%  617M 98s
  5550K .......... .......... .......... .......... ..........  5%  247K 1m41s
  5600K .......... .......... .......... .......... ..........  5%  449M 1m40s
  5650K .......... .......... .......... .......... ..........  5%  620M 99s
  5700K .......... .......... .......... .......... ..........  5%  621M 98s
  5750K .......... .......... .......... .......... ..........  5%  246K 1m41s
  5800K .......... .......... .......... .......... ..........  5%  530M 1m40s
  5850K .......... .......... .......... .......... ..........  5%  442M 99s
  5900K .......... .......... .......... .......... ..........  5%  607M 98s
  5950K .......... .......... .......... .......... ..........  5%  247K 1m41s
  6000K .......... .......... .......... .......... ..........  5%  482M 1m40s
  6050K .......... .......... .......... .......... ..........  5%  392M 99s
  6100K .......... .......... .......... .......... ..........  5%  550M 98s
  6150K .......... .......... .......... .......... ..........  5%  247K 1m41s
  6200K .......... .......... .......... .......... ..........  5%  421M 1m40s
  6250K .......... .......... .......... .......... ..........  5%  620M 99s
  6300K .......... .......... .......... .......... ..........  5%  625M 98s
  6350K .......... .......... .......... .......... ..........  5%  247K 1m41s
  6400K .......... .......... .......... .......... ..........  5%  344M 1m40s
  6450K .......... .......... .......... .......... ..........  5%  433M 99s
  6500K .......... .......... .......... .......... ..........  5%  629M 98s
  6550K .......... .......... .......... .......... ..........  6%  627M 98s
  6600K .......... .......... .......... .......... ..........  6%  224K 1m40s
  6650K .......... .......... .......... .......... ..........  6%  567M 99s
  6700K .......... .......... .......... .......... ..........  6% 4,76M 99s
