--2023-05-16 21:27:09--  https://hal-insu.archives-ouvertes.fr/insu-01494363/document
Resolving hal-insu.archives-ouvertes.fr (hal-insu.archives-ouvertes.fr)... 193.48.96.10
Connecting to hal-insu.archives-ouvertes.fr (hal-insu.archives-ouvertes.fr)|193.48.96.10|:443... connected.
HTTP request sent, awaiting response... 200 OK
Length: 103814165 (99M) [application/pdf]
Saving to: ‘./data/0.sdu/1494363.pdf’

  5100K .......... .......... .......... .......... ..........  5%  246K 94s
  5150K .......... .......... .......... .......... ..........  5%  398M 93s
  5200K .......... .......... .......... .......... ..........  5%  494M 92s
  5250K .......... .......... .......... .......... ..........  5%  521M 91s
  5300K .......... .......... .......... .......... ..........  5%  247K 94s
  5350K .......... .......... .......... .......... ..........  5%  564M 93s
  5400K .......... .......... .......... .......... ..........  5%  544M 92s
  5450K .......... .......... .......... .......... ..........  5%  571M 91s
  5500K .......... .......... .......... .......... ..........  5%  246K 94s
  5550K .......... .......... .......... .......... ..........  5%  472M 93s
  5600K .......... .......... .......... .......... ..........  5%  382M 92s
  5650K .......... .......... .......... .......... ..........  5%  621M 91s
  5700K .......... .......... .......... .......... ..........  5%  247K 94s
  5750K .......... .......... .......... .......... ..........  5%  544M 93s
  5800K .......... .......... .......... .......... ..........  5%  554M 92s
  5850K .......... .......... .......... .......... ..........  5%  604M 91s
  5900K .......... .......... .......... .......... ..........  5%  247K 94s
  5950K .......... .......... .......... .......... ..........  5%  443M 93s
  6000K .......... .......... .......... .......... ..........  5%  496M 92s
  6050K .......... .......... .......... .......... ..........  6%  607M 91s
  6100K .......... .......... .......... .......... ..........  6%  536M 90s
  6150K .......... .......... .......... .......... ..........  6%  247K 93s
  6200K .......... .......... .......... .......... ..........  6%  530M 92s
  6250K .......... .......... .......... .......... ..........  6% 63,3M 91s
  6300K .......... .......... .......... .......... ..........  6%  522M 90s
  6350K .......... .......... .......... .......... ..........  6%  247K 93s
  6400K .......... .......... .......... .......... ..........  6%  476M 92s
  6450K .......... .......... .......... .......... ..........  6%  604M 91s
  6500K .......... .......... .......... .......... ..........  6%  417M 90s
  6550K .......... .......... .......... .......... ..........  6%  247K 93s
  6600K .......... .......... .......... .......... ..........  6%  535M 92s
  6650K .......... .......... .......... .......... ..........  6%  567M 91s
  6700K .......... .......... .......... .......... ..........  6%  611M 90s
  6750K .......... .......... .......... .......... ..........  6%  246K 92s
  6800K .......... .......... .......... .......... ..........  6%  474M 92s
  6850K .......... .......... .......... .......... ..........  6%  627M 91s
  6900K .......... .......... .......... .......... ..........  6%  607M 90s
  6950K .......... .......... .......... .......... ..........  6%  246K 92s
  7000K .......... .......... .......... .......... ..........  6%  497M 92s
  7050K .......... .......... .......... .......... ..........  7%  572M 91s
  7100K .......... .......... .......... .......... ..........  7%  600M 90s
  7150K .......... .......... .......... .......... ..........  7%  247K 92s
  7200K .......... .......... .......... .......... ..........  7%  394M 92s
  7250K .......... .......... .......... .......... ..........  7%  632M 91s
  7300K .......... .......... .......... .......... ..........  7%  611M 90s
  7350K .......... .......... .......... .......... ..........  7%  420M 90s
  7400K .......... .......... .......... .......... ..........  7%  246K 91s
  7450K .......... .......... .......... .......... ..........  7%  576M 91s
  7500K .......... .......... .......... .......... ..........  7%  609M 90s
  7550K .......... .......... .......... .......... ..........  7%  525M 90s
  7600K .......... .......... .......... .......... ..........  7%  247K 91s
  7650K .......... .......... .......... .......... ..........  7%  450M 91s
  7700K .......... .......... .......... .......... ..........  7%  561M 90s
  7750K .......... .......... .......... .......... ..........  7%  600M 90s
  7800K .......... .......... .......... .......... ..........  7%  247K 91s
  7850K .......... .......... .......... .......... ..........  7%  569M 91s
  7900K .......... .......... .......... .......... ..........  7%  598M 90s
  7950K .......... .......... .......... .......... ..........  7%  603M 89s
  8000K .......... .......... .......... .......... ..........  7%  246K 91s
  8050K .......... .......... .......... .......... ..........  7%  373M 91s
  8100K .......... .......... .......... .......... ..........  8%  478M 90s
  8150K .......... .......... .......... .......... ..........  8%  610M 89s
  8200K .......... .......... .......... .......... ..........  8%  247K 91s
  8250K .......... .......... .......... .......... ..........  8%  399M 90s
  8300K .......... .......... .......... .......... ..........  8%  602M 90s
  8350K .......... .......... .......... .......... ..........  8%  621M 89s
  8400K .......... .......... .......... .......... ..........  8%  245K 91s
  8450K .......... .......... .......... .......... ..........  8%  502M 90s
  8500K .......... .......... .......... .......... ..........  8%  420M 90s
  8550K .......... .......... .......... .......... ..........  8%  601M 89s
  8600K .......... .......... .......... .......... ..........  8%  248K 91s
  8650K .......... .......... .......... .......... ..........  8%  406M 90s
  8700K .......... .......... .......... .......... ..........  8%  548M 90s
  8750K .......... .......... .......... .......... ..........  8%  595M 89s
  8800K .......... .......... .......... .......... ..........  8%  417M 89s
  8850K .......... .......... .......... .......... ..........  8%  247K 90s
  8900K .......... .......... .......... .......... ..........  8%  573M 90s
  8950K .......... .......... .......... .......... ..........  8%  598M 89s
  9000K .......... .......... .......... .......... ..........  8%  482M 89s
  9050K .......... .......... .......... .......... ..........  8%  247K 90s
  9100K .......... .......... .......... .......... ..........  9%  580M 90s
  9150K .......... .......... .......... .......... ..........  9%  615M 89s
  9200K .......... .......... .......... .......... ..........  9%  441M 88s
  9250K .......... .......... .......... .......... ..........  9%  246K 90s
  9300K .......... .......... .......... .......... ..........  9%  533M 89s
  9350K .......... .......... .......... .......... ..........  9%  593M 89s
  9400K .......... .......... .......... .......... ..........  9%  548M 88s
  9450K .......... .......... .......... .......... ..........  9%  246K 90s
  9500K .......... .......... .......... .......... ..........  9%  542M 89s
  9550K .......... .......... .......... .......... ..........  9%  589M 89s
  9600K .......... .......... .......... .......... ..........  9%  480M 88s
  9650K .......... .......... .......... .......... ..........  9%  247K 90s
  9700K .......... .......... .......... .......... ..........  9%  517M 89s
  9750K .......... .......... .......... .......... ..........  9%  610M 89s
  9800K .......... .......... .......... .......... ..........  9%  540M 88s
  9850K .......... .......... .......... .......... ..........  9%  247K 90s
  9900K .......... .......... .......... .......... ..........  9%  332M 89s
  9950K .......... .......... .......... .......... ..........  9%  588M 89s
