--2023-05-16 11:26:56--  https://hal.science/hal-01483773/document
Resolving hal.science (hal.science)... 193.48.96.10
Connecting to hal.science (hal.science)|193.48.96.10|:443... connected.
HTTP request sent, awaiting response... 200 OK
Length: 83914505 (80M) [application/pdf]
Saving to: ‘./data/0.info/1483773.pdf’

  5250K .......... .......... .......... .......... ..........  6%  602M 74s
  5300K .......... .......... .......... .......... ..........  6%  417M 73s
  5350K .......... .......... .......... .......... ..........  6%  247K 75s
  5400K .......... .......... .......... .......... ..........  6%  441M 75s
  5450K .......... .......... .......... .......... ..........  6%  605M 74s
  5500K .......... .......... .......... .......... ..........  6%  426M 73s
  5550K .......... .......... .......... .......... ..........  6%  247K 75s
  5600K .......... .......... .......... .......... ..........  6%  148M 75s
  5650K .......... .......... .......... .......... ..........  6%  582M 74s
  5700K .......... .......... .......... .......... ..........  7%  475M 73s
  5750K .......... .......... .......... .......... ..........  7%  626M 73s
  5800K .......... .......... .......... .......... ..........  7%  247K 75s
  5850K .......... .......... .......... .......... ..........  7%  577M 74s
  5900K .......... .......... .......... .......... ..........  7%  600M 73s
  5950K .......... .......... .......... .......... ..........  7%  623M 73s
  6000K .......... .......... .......... .......... ..........  7%  246K 74s
  6050K .......... .......... .......... .......... ..........  7%  581M 74s
  6100K .......... .......... .......... .......... ..........  7%  447M 73s
  6150K .......... .......... .......... .......... ..........  7%  592M 72s
  6200K .......... .......... .......... .......... ..........  7%  246K 74s
  6250K .......... .......... .......... .......... ..........  7%  421M 74s
  6300K .......... .......... .......... .......... ..........  7%  612M 73s
  6350K .......... .......... .......... .......... ..........  7%  623M 72s
  6400K .......... .......... .......... .......... ..........  7%  247K 74s
  6450K .......... .......... .......... .......... ..........  7%  588M 74s
  6500K .......... .......... .......... .......... ..........  7%  444M 73s
  6550K .......... .......... .......... .......... ..........  8%  612M 72s
  6600K .......... .......... .......... .......... ..........  8%  247K 74s
  6650K .......... .......... .......... .......... ..........  8%  422M 73s
  6700K .......... .......... .......... .......... ..........  8%  616M 73s
  6750K .......... .......... .......... .......... ..........  8%  627M 72s
  6800K .......... .......... .......... .......... ..........  8%  246K 74s
  6850K .......... .......... .......... .......... ..........  8%  530M 73s
  6900K .......... .......... .......... .......... ..........  8%  590M 73s
  6950K .......... .......... .......... .......... ..........  8%  596M 72s
  7000K .......... .......... .......... .......... ..........  8%  247K 74s
  7050K .......... .......... .......... .......... ..........  8%  421M 73s
  7100K .......... .......... .......... .......... ..........  8%  613M 73s
  7150K .......... .......... .......... .......... ..........  8%  440M 72s
  7200K .......... .......... .......... .......... ..........  8%  473M 72s
  7250K .......... .......... .......... .......... ..........  8%  247K 73s
  7300K .......... .......... .......... .......... ..........  8%  605M 73s
  7350K .......... .......... .......... .......... ..........  9%  453M 72s
  7400K .......... .......... .......... .......... ..........  9%  556M 72s
  7450K .......... .......... .......... .......... ..........  9%  246K 73s
  7500K .......... .......... .......... .......... ..........  9%  439M 72s
  7550K .......... .......... .......... .......... ..........  9%  595M 72s
  7600K .......... .......... .......... .......... ..........  9%  504M 71s
  7650K .......... .......... .......... .......... ..........  9%  247K 73s
  7700K .......... .......... .......... .......... ..........  9%  488M 72s
  7750K .......... .......... .......... .......... ..........  9%  605M 72s
  7800K .......... .......... .......... .......... ..........  9%  572M 71s
  7850K .......... .......... .......... .......... ..........  9%  246K 73s
  7900K .......... .......... .......... .......... ..........  9%  397M 72s
  7950K .......... .......... .......... .......... ..........  9%  616M 72s
  8000K .......... .......... .......... .......... ..........  9%  506M 71s
  8050K .......... .......... .......... .......... ..........  9%  246K 73s
  8100K .......... .......... .......... .......... ..........  9%  403M 72s
  8150K .......... .......... .......... .......... .......... 10%  612M 72s
  8200K .......... .......... .......... .......... .......... 10%  561M 71s
  8250K .......... .......... .......... .......... .......... 10%  247K 72s
  8300K .......... .......... .......... .......... .......... 10%  419M 72s
  8350K .......... .......... .......... .......... .......... 10%  595M 72s
  8400K .......... .......... .......... .......... .......... 10%  484M 71s
  8450K .......... .......... .......... .......... .......... 10%  601M 71s
  8500K .......... .......... .......... .......... .......... 10%  246K 72s
  8550K .......... .......... .......... .......... .......... 10%  584M 71s
  8600K .......... .......... .......... .......... .......... 10%  557M 71s
  8650K .......... .......... .......... .......... .......... 10%  231M 70s
  8700K .......... .......... .......... .......... .......... 10%  245K 72s
  8750K .......... .......... .......... .......... .......... 10%  589M 71s
  8800K .......... .......... .......... .......... .......... 10%  383M 71s
  8850K .......... .......... .......... .......... .......... 10%  585M 70s
  8900K .......... .......... .......... .......... .......... 10%  248K 72s
  8950K .......... .......... .......... .......... .......... 10%  578M 71s
  9000K .......... .......... .......... .......... .......... 11%  457M 71s
  9050K .......... .......... .......... .......... .......... 11%  612M 70s
  9100K .......... .......... .......... .......... .......... 11%  247K 71s
  9150K .......... .......... .......... .......... .......... 11%  564M 71s
  9200K .......... .......... .......... .......... .......... 11%  374M 71s
  9250K .......... .......... .......... .......... .......... 11%  615M 70s
  9300K .......... .......... .......... .......... .......... 11%  247K 71s
  9350K .......... .......... .......... .......... .......... 11%  396M 71s
  9400K .......... .......... .......... .......... .......... 11%  549M 70s
  9450K .......... .......... .......... .......... .......... 11%  600M 70s
  9500K .......... .......... .......... .......... .......... 11%  247K 71s
  9550K .......... .......... .......... .......... .......... 11%  418M 71s
  9600K .......... .......... .......... .......... .......... 11%  499M 70s
  9650K .......... .......... .......... .......... .......... 11%  615M 70s
  9700K .......... .......... .......... .......... .......... 11%  613M 70s
  9750K .......... .......... .......... .......... .......... 11%  246K 71s
  9800K .......... .......... .......... .......... .......... 12%  529M 70s
  9850K .......... .......... .......... .......... .......... 12%  442M 70s
  9900K .......... .......... .......... .......... .......... 12%  615M 69s
  9950K .......... .......... .......... .......... .......... 12%  247K 70s
 10000K .......... .......... .......... .......... .......... 12%  492M 70s
 10050K .......... .......... .......... .......... .......... 12%  547M 70s
 10100K .......... .......... .......... .......... .......... 12%  607M 69s
 10150K .......... .......... .......... .......... .......... 12%  246K 70s
 10200K .......... .......... .......... .......... .......... 12%  467M 70s
 10250K .......... .......... .......... .......... .......... 12%  342M 70s
 10300K .......... .......... .......... .......... .......... 12%  520M 69s
 10350K .......... .......... .......... .......... .......... 12%  247K 70s
 10400K .......... .......... .......... .......... .......... 12%  366M 70s
 10450K .......... .......... .......... .......... .......... 12%  606M 69s
 10500K .......... .......... .......... .......... .......... 12%  485M 69s
 10550K .......... .......... .......... .......... .......... 12%  247K 70s
 10600K .......... .......... .......... .......... .......... 12%  385M 70s
 10650K .......... .......... .......... .......... .......... 13%  615M 69s
 10700K .......... .......... .......... .......... .......... 13%  620M 69s
 10750K .......... .......... .......... .......... .......... 13%  246K 70s
 10800K .......... .......... .......... .......... .......... 13%  381M 69s
 10850K .......... .......... .......... .......... .......... 13%  602M 69s
 10900K .......... .......... .......... .......... .......... 13%  629M 69s
 10950K .......... .......... .......... .......... .......... 13%  625M 68s
 11000K .......... .......... .......... .......... .......... 13%  247K 69s
 11050K .......... .......... .......... .......... .......... 13%  582M 69s
 11100K .......... .......... .......... .......... .......... 13%  443M 69s
 11150K .......... .......... .......... .......... .......... 13%  618M 68s
 11200K .......... .......... .......... .......... .......... 13%  246K 69s
 11250K .......... .......... .......... .......... .......... 13%  578M 69s
 11300K .......... .......... .......... .......... .......... 13%  430M 68s
 11350K .......... .......... .......... .......... .......... 13%  610M 68s
 11400K .......... .......... .......... .......... .......... 13%  247K 69s
 11450K .......... .......... .......... .......... .......... 14%  429M 69s
 11500K .......... .......... .......... .......... .......... 14%  571M 68s
 11550K .......... .......... .......... .......... .......... 14%  614M 68s
 11600K .......... .......... .......... .......... .......... 14%  246K 69s
 11650K .......... .......... .......... .......... .......... 14%  571M 69s
 11700K .......... .......... .......... .......... .......... 14%  619M 68s
 11750K .......... .......... .......... .......... .......... 14%  610M 68s
 11800K .......... .......... .......... .......... .......... 14%  246K 69s
 11850K .......... .......... .......... .......... .......... 14%  564M 68s
 11900K .......... .......... .......... .......... .......... 14%  598M 68s
 11950K .......... .......... .......... .......... .......... 14%  616M 68s
 12000K .......... .......... .......... .......... .......... 14%  239K 69s
 12050K .......... .......... .......... .......... .......... 14%  541M 68s
 12100K .......... .......... .......... .......... .......... 14%  536M 68s
 12150K .......... .......... .......... .......... .......... 14%  606M 68s
 12200K .......... .......... .......... .......... .......... 14%  548M 67s
 12250K .......... .......... .......... .......... .......... 15%  245K 68s
 12300K .......... .......... .......... .......... .......... 15%  580M 68s
 12350K .......... .......... .......... .......... .......... 15%  552M 68s
 12400K .......... .......... .......... .......... .......... 15%  281M 67s
 12450K .......... .......... .......... .......... .......... 15%  247K 68s
 12500K .......... .......... .......... .......... .......... 15%  570M 68s
 12550K .......... .......... .......... .......... .......... 15%  439M 67s
 12600K .......... .......... .......... .......... .......... 15%  548M 67s
 12650K .......... .......... .......... .......... .......... 15%  246K 68s
 12700K .......... .......... .......... .......... .......... 15%  431M 68s
 12750K .......... .......... .......... .......... .......... 15%  613M 67s
 12800K .......... .......... .......... .......... .......... 15%  489M 67s
 12850K .......... .......... .......... .......... .......... 15%  244K 68s
 12900K .......... .......... .......... .......... .......... 15%  567M 67s
 12950K .......... .......... .......... .......... .......... 15%  601M 67s
 13000K .......... .......... .......... .......... .......... 15% 10,1M 67s
 13050K .......... .......... .......... .......... .......... 15%  245K 68s
 13100K .......... .......... .......... .......... .......... 16%  422M 67s
 13150K .......... .......... .......... .......... .......... 16%  599M 67s
 13200K .......... .......... .......... .......... .......... 16%  378M 67s
 13250K .......... .......... .......... .......... .......... 16%  609M 66s
 13300K .......... .......... .......... .......... .......... 16%  245K 67s
 13350K .......... .......... .......... .......... .......... 16%  439M 67s
 13400K .......... .......... .......... .......... .......... 16%  561M 67s
 13450K .......... .......... .......... .......... .......... 16%  612M 66s
 13500K .......... .......... .......... .......... .......... 16%  249K 67s
 13550K .......... .......... .......... .......... .......... 16%  574M 67s
 13600K .......... .......... .......... .......... .......... 16%  391M 66s
 13650K .......... .......... .......... .......... .......... 16%  604M 66s
 13700K .......... .......... .......... .......... .......... 16%  246K 67s
 13750K .......... .......... .......... .......... .......... 16%  423M 66s
 13800K .......... .......... .......... .......... .......... 16%  539M 66s
 13850K .......... .......... .......... .......... .......... 16%  603M 66s
 13900K .......... .......... .......... .......... .......... 17%  242K 67s
 13950K .......... .......... .......... .......... .......... 17%  430M 66s
 14000K .......... .......... .......... .......... .......... 17%  497M 66s
 14050K .......... .......... .......... .......... .......... 17%  615M 66s
 14100K .......... .......... .......... .......... .......... 17%  242K 66s
 14150K .......... .......... .......... .......... .......... 17%  445M 66s
 14200K .......... .......... .......... .......... .......... 17%  447M 66s
 14250K .......... .......... .......... .......... .......... 17%  359M 66s
 14300K .......... .......... .......... .......... .......... 17%  615M 65s
 14350K .......... .......... .......... .......... .......... 17%  247K 66s
 14400K .......... .......... .......... .......... .......... 17%  370M 66s
 14450K .......... .......... .......... .......... .......... 17%  603M 66s
