--2023-05-16 22:14:56--  https://hal.sorbonne-universite.fr/hal-01495958/document
Resolving hal.sorbonne-universite.fr (hal.sorbonne-universite.fr)... 193.48.96.10
Connecting to hal.sorbonne-universite.fr (hal.sorbonne-universite.fr)|193.48.96.10|:443... connected.
HTTP request sent, awaiting response... 200 OK
Length: 15338668 (15M) [application/pdf]
Saving to: ‘./data/0.chim/1495958.pdf’

  5150K .......... .......... .......... .......... .......... 34%  555M 9s
  5200K .......... .......... .......... .......... .......... 35%  498M 9s
  5250K .......... .......... .......... .......... .......... 35%  622M 9s
  5300K .......... .......... .......... .......... .......... 35%  246K 9s
  5350K .......... .......... .......... .......... .......... 36%  573M 9s
  5400K .......... .......... .......... .......... .......... 36%  563M 9s
  5450K .......... .......... .......... .......... .......... 36%  600M 9s
  5500K .......... .......... .......... .......... .......... 37%  246K 9s
  5550K .......... .......... .......... .......... .......... 37%  581M 9s
  5600K .......... .......... .......... .......... .......... 37%  499M 9s
  5650K .......... .......... .......... .......... .......... 38%  625M 9s
  5700K .......... .......... .......... .......... .......... 38%  247K 9s
  5750K .......... .......... .......... .......... .......... 38%  583M 9s
  5800K .......... .......... .......... .......... .......... 39%  561M 9s
  5850K .......... .......... .......... .......... .......... 39%  609M 9s
  5900K .......... .......... .......... .......... .......... 39%  247K 9s
  5950K .......... .......... .......... .......... .......... 40%  436M 9s
  6000K .......... .......... .......... .......... .......... 40%  497M 9s
  6050K .......... .......... .......... .......... .......... 40%  617M 8s
  6100K .......... .......... .......... .......... .......... 41%  246K 9s
  6150K .......... .......... .......... .......... .......... 41%  218M 9s
  6200K .......... .......... .......... .......... .......... 41%  354M 8s
  6250K .......... .......... .......... .......... .......... 42%  473M 8s
  6300K .......... .......... .......... .......... .......... 42%  542M 8s
  6350K .......... .......... .......... .......... .......... 42%  247K 8s
  6400K .......... .......... .......... .......... .......... 43%  478M 8s
  6450K .......... .......... .......... .......... .......... 43%  614M 8s
  6500K .......... .......... .......... .......... .......... 43%  543M 8s
  6550K .......... .......... .......... .......... .......... 44%  246K 8s
  6600K .......... .......... .......... .......... .......... 44%  516M 8s
  6650K .......... .......... .......... .......... .......... 44%  609M 8s
  6700K .......... .......... .......... .......... .......... 45%  621M 8s
  6750K .......... .......... .......... .......... .......... 45%  247K 8s
  6800K .......... .......... .......... .......... .......... 45%  479M 8s
  6850K .......... .......... .......... .......... .......... 46%  557M 8s
  6900K .......... .......... .......... .......... .......... 46%  600M 8s
  6950K .......... .......... .......... .......... .......... 46%  246K 8s
  7000K .......... .......... .......... .......... .......... 47%  524M 8s
  7050K .......... .......... .......... .......... .......... 47%  612M 8s
  7100K .......... .......... .......... .......... .......... 47%  580M 7s
  7150K .......... .......... .......... .......... .......... 48%  247K 8s
  7200K .......... .......... .......... .......... .......... 48%  385M 8s
  7250K .......... .......... .......... .......... .......... 48%  621M 7s
  7300K .......... .......... .......... .......... .......... 49%  617M 7s
  7350K .......... .......... .......... .......... .......... 49%  246K 7s
  7400K .......... .......... .......... .......... .......... 49%  395M 7s
  7450K .......... .......... .......... .......... .......... 50%  608M 7s
  7500K .......... .......... .......... .......... .......... 50%  597M 7s
  7550K .......... .......... .......... .......... .......... 50%  518M 7s
  7600K .......... .......... .......... .......... .......... 51%  247K 7s
  7650K .......... .......... .......... .......... .......... 51%  580M 7s
  7700K .......... .......... .......... .......... .......... 51%  621M 7s
  7750K .......... .......... .......... .......... .......... 52%  559M 7s
  7800K .......... .......... .......... .......... .......... 52%  246K 7s
  7850K .......... .......... .......... .......... .......... 52%  590M 7s
  7900K .......... .......... .......... .......... .......... 53%  608M 7s
  7950K .......... .......... .......... .......... .......... 53%  617M 7s
